player_id,team_id,player_name,matches_played,starts,sub_on_appearances,sub_off_appearances,avg_sub_on_minute,avg_sub_off_minute,typical_role
285,39,Ki-Jana Hoever,2,2,0,2,,54.0,UNK
66407,39,Ladislav Krejčí,0,0,1,0,,,UNK
3080,39,Marshall Munetsi,3,3,0,0,,,UNK
18742,39,Matt Doherty,2,2,1,0,,,UNK
282770,39,Rodrigo Gomes,2,0,3,0,68.0,,UNK
19143,39,Sam Johnstone,0,0,3,0,,,UNK
135334,39,Santiago Bueno,2,1,2,0,56.0,,UNK
7722,39,Saša Kalajdžić,1,0,2,0,76.0,,UNK
41606,39,Toti Gomes,3,3,0,0,,,UNK
195717,39,Yerson Mosquera,0,0,3,0,,,UNK
6716,40,Alexis Mac Allister,2,2,0,2,,66.5,UNK
280,40,Alisson,3,3,0,0,,,UNK
289,40,Andrew Robertson,1,0,3,0,60.0,,UNK
247,40,Cody Gakpo,3,3,0,1,,90.0,UNK
180317,40,Conor Bradley,1,0,2,0,80.0,,UNK
293,40,Curtis Jones,3,1,2,1,66.5,90.0,UNK
1096,40,Dominik Szoboszlai,3,3,0,0,,,UNK
30410,40,Federico Chiesa,3,0,3,0,80.33333333333333,,UNK
203224,40,Florian Wirtz,3,3,0,3,,83.66666666666667,UNK
24760,40,Giorgi Mamardashvili,0,0,3,0,,,UNK
409047,40,Giovanni Leoni,0,0,1,0,,,UNK
19035,40,Harvey Elliott,1,0,3,0,90.0,,UNK
174565,40,Hugo Ekitiké,3,3,0,3,,77.0,UNK
1145,40,Ibrahima Konaté,3,3,0,1,,79.0,UNK
152654,40,Jeremie Frimpong,1,1,0,1,,60.0,UNK
284,40,Joe Gomez,2,0,3,0,75.5,,UNK
206254,40,Miloš Kerkez,3,3,0,1,,60.0,UNK
306,40,Mohamed Salah,3,3,0,1,,90.0,UNK
452685,40,Rio Ngumoha,1,0,3,0,90.0,,UNK
542,40,Ryan Gravenberch,2,2,0,0,,,UNK
397997,40,Trey Nyoni,0,0,1,0,,,UNK
290,40,Virgil van Dijk,3,3,0,0,,,UNK
8500,40,Wataru Endo,3,0,3,0,79.66666666666667,,UNK
457731,42,Andre Annous,0,0,1,0,,,UNK
19959,42,Ben White,1,1,0,1,,71.0,UNK
1460,42,Bukayo Saka,2,2,0,1,,53.0,UNK
333682,42,Cristhian Mosquera,2,0,3,0,34.5,,UNK
19465,42,David Raya,3,3,0,0,,,UNK
2937,42,Declan Rice,3,3,0,1,,83.0,UNK
19586,42,Eberechi Eze,1,0,1,0,70.0,,UNK
313236,42,Ethan Nwaneri,1,0,3,0,38.0,,UNK
22224,42,Gabriel Magalhães,3,3,0,0,,,UNK
127769,42,Gabriel Martinelli,2,2,1,2,,65.0,UNK
61431,42,Jakub Kiwior,0,0,1,0,,,UNK
38746,42,Jurriën Timber,3,2,1,1,71.0,64.0,UNK
978,42,Kai Havertz,1,0,1,0,60.0,,UNK
2273,42,Kepa Arrizabalaga,0,0,3,0,,,UNK
1946,42,Leandro Trossard,1,0,3,0,53.0,,UNK
37127,42,Martin Ødegaard,3,2,1,1,70.0,38.0,UNK
47315,42,Martín Zubimendi,3,3,0,0,,,UNK
442044,42,Max Dowman,2,0,2,0,76.5,,UNK
47311,42,Mikel Merino,2,1,2,1,83.0,70.0,UNK
313245,42,Myles Lewis-Skelly,2,0,3,0,68.0,,UNK
136723,42,Noni Madueke,3,2,1,2,60.0,76.5,UNK
157052,42,Riccardo Calafiori,3,3,0,2,,68.0,UNK
18979,42,Viktor Gyökeres,3,3,0,1,,60.0,UNK
22090,42,William Saliba,3,3,0,1,,5.0,UNK
278079,44,Aaron Ramsey,0,0,3,0,,,UNK
180560,44,Hannibal Mejbri,3,3,0,3,,70.33333333333333,UNK
47903,44,Hjalmar Ekdal,3,3,0,1,,83.0,UNK
22,44,Jacob Bruun Larsen,3,2,1,2,63.0,76.0,UNK
196855,44,Jaidon Anthony,3,3,0,1,,85.0,UNK
1746,44,Joe Worrall,2,0,3,0,83.0,,UNK
19827,44,Josh Cullen,3,3,0,0,,,UNK
20303,44,Josh Laurent,3,1,2,1,72.5,63.0,UNK
627,44,Kyle Walker,3,3,0,0,,,UNK
270508,44,Lesley Ugochukwu,3,2,1,2,63.0,72.5,UNK
161621,44,Loum Tchaouna,3,0,3,0,74.0,,UNK
330238,44,Lucas Pires,0,0,3,0,,,UNK
98936,44,Lyle Foster,3,3,0,2,,80.0,UNK
37882,44,Marcus Edwards,1,0,3,0,85.0,,UNK
18886,44,Martin Dúbravka,3,3,0,0,,,UNK
328273,44,Max Weiss,0,0,3,0,,,UNK
179400,44,Maxime Estève,3,3,0,1,,83.0,UNK
128895,44,Oliver Sonne,3,1,2,1,76.0,74.0,UNK
375915,44,Quilindschy Hartman,3,3,0,0,,,UNK
36927,44,Zian Flemming,2,0,3,0,80.0,,UNK
125743,45,Beto,3,2,1,1,64.0,76.0,UNK
195993,45,Carlos Alcaraz,3,1,2,1,76.0,86.0,UNK
18929,45,Dwight McNeil,1,0,3,0,71.0,,UNK
284385,45,Elijah Campbell,0,0,1,0,,,
405360,45,Harrison Armstrong,1,0,3,0,90.0,,UNK
138844,45,Harry Tyrer,0,0,1,0,,,UNK
2990,45,Idrissa Gueye,3,3,0,1,,76.0,UNK
18592,45,Iliman Ndiaye,3,3,0,2,,77.0,UNK
19187,45,Jack Grealish,3,2,1,2,71.0,89.0,UNK
270139,45,Jake O'Brien,3,3,0,0,,,UNK
895,45,James Garner,3,3,0,0,,,UNK
2936,45,James Tarkowski,3,3,0,0,,,UNK
2932,45,Jordan Pickford,3,3,0,0,,,UNK
148099,45,Kiernan Dewsbury-Hall,3,3,0,0,,,UNK
18860,45,Mark Travers,0,0,3,0,,,UNK
2934,45,Michael Keane,3,3,0,0,,,UNK
18758,45,Séamus Coleman,1,0,3,0,90.0,,UNK
343684,45,Thierno Barry,3,1,2,1,81.0,64.0,UNK
284500,45,Tim Iroegbunam,3,2,1,2,76.0,71.0,UNK
304317,45,Tyler Dibling,0,0,1,0,,,UNK
167657,45,Tyler Onyango,0,0,3,0,,,UNK
2165,45,Vitaliy Mykolenko,1,1,0,0,,,UNK
330412,45,Youssef Chermiti,0,0,2,0,,,UNK
265826,47,Antonín Kinský,0,0,3,0,,,UNK
328089,47,Archie Gray,1,1,2,1,,71.0,UNK
164,47,Ben Davies,0,0,3,0,,,UNK
129711,47,Brennan Johnson,3,3,0,3,,70.66666666666667,UNK
30776,47,Cristian Romero,3,3,0,0,,,UNK
204039,47,Destiny Udogie,1,0,1,0,71.0,,UNK
19235,47,Djed Spence,3,3,0,0,,,UNK
18883,47,Dominic Solanke,2,0,2,0,74.5,,UNK
31354,47,Guglielmo Vicario,3,3,0,0,,,UNK
41104,47,João Palhinha,3,2,1,2,80.0,72.0,UNK
25287,47,Kevin Danso,1,0,3,0,90.0,,UNK
347316,47,Lucas Bergvall,3,1,2,1,70.0,80.0,UNK
387521,47,Luka Vušković,0,0,2,0,,,UNK
697,47,Manor Solomon,0,0,1,0,,,UNK
270510,47,Mathys Tel,2,0,3,0,80.5,,UNK
152849,47,Micky van de Ven,3,3,0,0,,,UNK
15911,47,Mohammed Kudus,3,3,0,2,,85.5,UNK
237129,47,Pape Matar Sarr,3,3,0,1,,76.0,UNK
47519,47,Pedro Porro,3,3,0,1,,71.0,UNK
2413,47,Richarlison,3,3,0,2,,74.5,UNK
863,47,Rodrigo Bentancur,3,2,1,0,71.0,,UNK
336564,47,Wilson Odobert,3,0,3,0,70.66666666666667,,UNK
18846,48,Aaron Wan-Bissaka,2,2,1,0,,,UNK
253,48,Alphonse Aréola,0,0,3,0,,,UNK
68466,48,Andy Irving,2,0,3,0,78.5,,UNK
344707,48,Callum Marshall,0,0,1,0,,,UNK
2939,48,Callum Wilson,3,0,3,0,60.333333333333336,,UNK
37724,48,Crysencio Summerville,1,0,1,0,82.0,,UNK
2869,48,Edson Álvarez,0,0,1,0,,,UNK
409303,48,El Hadji Malick Diouf,3,3,0,0,,,UNK
284446,48,Freddie Potts,1,0,3,0,46.0,,UNK
2476,48,Guido Rodríguez,1,1,2,1,,71.0,UNK
