fixture_id,team_id,opponent_team_id,player_out_id,player_in_id,minute,role_out_x,role_in_x,role_out_y,role_in_y
1378969,40,35,152654.0,8500,60,,,UNK,UNK
1378969,40,35,206254.0,289,60,,,UNK,UNK
1378969,40,35,174565.0,284,72,,,UNK,UNK
1378969,40,35,6716.0,293,72,,,UNK,UNK
1378969,35,40,304853.0,31057,74,,,UNK,UNK
1378969,40,35,203224.0,30410,82,,,UNK,UNK
1378969,35,40,18870.0,402432,84,,,UNK,UNK
1378969,35,40,1150.0,368030,90,,,UNK,UNK
1378969,35,40,18869.0,20093,90,,,UNK,UNK
1378970,34,66,153430.0,19163,78,,,UNK,UNK
1378970,34,66,723.0,328105,83,,,UNK,UNK
1378970,66,34,19191.0,249,84,,,UNK,UNK
1378970,34,66,18778.0,315237,90,,,UNK,UNK
1378974,44,47,180560.0,22,63,,,UNK,UNK
1378974,44,47,20303.0,270508,63,,,UNK,UNK
1378974,47,44,2413.0,18883,71,,,UNK,UNK
1378974,47,44,328089.0,863,71,,,UNK,UNK
1378974,44,47,128895.0,161621,74,,,UNK,UNK
1378974,44,47,98936.0,36927,74,,,UNK,UNK
1378974,47,44,347316.0,41104,80,,,UNK,UNK
1378974,47,44,129711.0,336564,80,,,UNK,UNK
1378974,47,44,15911.0,270510,85,,,UNK,UNK
1378974,44,47,196855.0,37882,85,,,UNK,UNK
1378971,36,51,2887.0,195106,66,,,UNK,UNK
1378971,36,51,1934.0,19025,66,,,UNK,UNK
1378971,36,51,1455.0,18753,66,,,UNK,UNK
1378971,51,36,90590.0,1469,69,,,UNK,UNK
1378971,51,36,383685.0,1361,69,,,UNK,UNK
1378971,51,36,356041.0,278370,69,,,UNK,UNK
1378971,36,51,389315.0,1161,77,,,UNK,UNK
1378971,51,36,106835.0,328225,83,,,UNK,UNK
1378971,36,51,131.0,2920,84,,,UNK,UNK
1378971,51,36,19030.0,296,88,,,UNK,UNK
1378973,746,48,290545.0,6168,53,,,UNK,UNK
1378973,48,746,2476.0,2939,71,,,UNK,UNK
1378973,48,746,2938.0,1243,71,,,UNK,UNK
1378973,746,48,301771.0,20638,76,,,UNK,UNK
1378973,746,48,349799.0,84087,76,,,UNK,UNK
1378973,48,746,138.0,68466,82,,,UNK,UNK
1378973,746,48,336659.0,339201,90,,,UNK,UNK
1378975,50,39,1422.0,81573,66,,,UNK,UNK
1378975,50,39,284230.0,41621,66,,,UNK,UNK
1378975,50,39,636.0,307123,66,,,UNK,UNK
1378975,39,50,265782.0,280687,72,,,UNK,UNK
1378975,39,50,265784.0,391822,72,,,UNK,UNK
1378975,39,50,20665.0,13708,73,,,UNK,UNK
1378975,39,50,285.0,282770,73,,,UNK,UNK
1378975,50,39,1100.0,156477,73,,,UNK,UNK
1378975,39,50,2032.0,24888,82,,,UNK,UNK
1378975,50,39,626.0,360114,82,,,UNK,UNK
1378976,49,52,286894.0,425733,54,,,UNK,UNK
1378976,52,49,18806.0,2490,70,,,UNK,UNK
1378976,49,52,10329.0,161948,73,,,UNK,UNK
1378976,49,52,5996.0,305834,79,,,UNK,UNK
1378976,49,52,19545.0,161907,79,,,UNK,UNK
1378976,52,49,19586.0,286458,84,,,UNK,UNK
1378972,55,65,319517.0,178077,46,,,UNK,UNK
1378972,55,65,47438.0,292,69,,,UNK,UNK
1378972,55,65,106725.0,15799,69,,,UNK,UNK
1378972,65,55,18931.0,9366,79,,,UNK,UNK
1378972,65,55,48648.0,141901,79,,,UNK,UNK
1378972,65,55,18746.0,19305,84,,,UNK,UNK
1378972,55,65,19346.0,44871,88,,,UNK,UNK
1378977,33,42,886.0,157997,55,,,UNK,UNK
1378977,42,33,127769.0,136723,60,,,UNK,UNK
1378977,42,33,18979.0,978,60,,,UNK,UNK
1378977,33,42,747.0,51494,65,,,UNK,UNK
1378977,33,42,19220.0,115589,65,,,UNK,UNK
1378977,42,33,19959.0,38746,71,,,UNK,UNK
1378977,42,33,157052.0,313245,72,,,UNK,UNK
1378977,33,42,891.0,2935,80,,,UNK,UNK
1378977,42,33,2937.0,47311,83,,,UNK,UNK
1378978,63,45,162128.0,50739,67,,,UNK,UNK
1378978,45,63,284500.0,19187,71,,,UNK,UNK
1378978,63,45,2279.0,129142,78,,,UNK,UNK
1378978,63,45,19329.0,19128,78,,,UNK,UNK
