team_id,matches,goals_for,goals_against,shots_total,shots_allowed,fouls_committed,fouls_drawn,yellow_cards,red_cards,tackles,dribbles,goals_for_per_match,goals_against_per_match,shots_for_per_match,shots_allowed_per_match,fouls_committed_per_match,fouls_drawn_per_match,yellow_cards_per_match,red_cards_per_match,tackles_per_match,dribbles_per_match,foul_rate,card_rate,shots_allowed_rate,press_intensity,foul_z,card_z,shots_allowed_z,press_z,style_tag
33,3,4,4,42.0,18.0,29.0,38.0,3,0,55.0,31.0,1.3333333333333333,1.3333333333333333,14.0,6.0,9.666666666666666,12.666666666666666,1.0,0.0,18.333333333333332,10.333333333333334,9.666666666666666,1.0,6.0,25.916666666666668,-0.6032437060286188,-1.3195953636967908,-1.1744721745271236,-0.2665103140296441,defensively-solid
34,3,2,3,21.0,14.0,43.0,38.0,4,1,32.0,40.0,0.6666666666666666,1.0,7.0,4.666666666666667,14.333333333333334,12.666666666666666,1.3333333333333333,0.3333333333333333,10.666666666666666,13.333333333333334,14.333333333333334,2.0,4.666666666666667,20.916666666666664,1.2327153992758737,0.23286977006413898,-1.8917070902688786,-1.7609606730743859,"foul-heavy,defensively-solid"
35,3,4,4,31.0,25.0,36.0,39.0,8,0,60.0,57.0,1.3333333333333333,1.3333333333333333,10.333333333333334,8.333333333333334,12.0,13.0,2.6666666666666665,0.0,20.0,19.0,12.0,2.6666666666666665,8.333333333333334,32.5,0.31473584662362747,1.2678465259047584,0.08068892802094862,1.7011826587125976,"card-prone,high-press"
36,3,2,4,23.0,25.0,44.0,36.0,6,0,54.0,41.0,0.6666666666666666,1.3333333333333333,7.666666666666667,8.333333333333334,14.666666666666666,12.0,2.0,0.0,18.0,13.666666666666666,14.666666666666666,2.0,8.333333333333334,28.5,1.3638553353690512,0.23286977006413898,0.08068892802094862,0.5056223714768049,"foul-heavy,high-press"
39,3,2,8,17.0,26.0,44.0,29.0,5,1,69.0,28.0,0.6666666666666666,2.6666666666666665,5.666666666666667,8.666666666666666,14.666666666666666,9.666666666666666,1.6666666666666667,0.3333333333333333,23.0,9.333333333333334,14.666666666666666,2.3333333333333335,8.666666666666666,31.333333333333336,1.3638553353690512,0.7503581479844491,0.2599976569563868,1.352477574935492,"foul-heavy,card-prone,high-press"
40,3,8,4,26.0,18.0,29.0,36.0,6,0,40.0,39.0,2.6666666666666665,1.3333333333333333,8.666666666666666,6.0,9.666666666666666,12.0,2.0,0.0,13.333333333333334,13.0,9.666666666666666,2.0,6.0,22.250000000000004,-0.6032437060286188,0.23286977006413898,-1.1744721745271236,-1.36244057732912,defensively-solid
42,3,6,1,24.0,20.0,37.0,28.0,6,0,45.0,57.0,2.0,0.3333333333333333,8.0,6.666666666666667,12.333333333333334,9.333333333333334,2.0,0.0,15.0,19.0,12.333333333333334,2.0,6.666666666666667,27.583333333333332,0.44587578271680567,0.23286977006413898,-0.8158547166562456,0.23163980565193545,defensively-solid
44,3,4,6,21.0,38.0,26.0,28.0,5,0,48.0,26.0,1.3333333333333333,2.0,7.0,12.666666666666666,8.666666666666666,9.333333333333334,1.6666666666666667,0.0,16.0,8.666666666666666,8.666666666666666,1.6666666666666667,12.666666666666666,22.5,-0.9966635143081527,-0.2846186078561708,2.4117024041816526,-1.287718059376884,shot-allowing
45,3,5,3,20.0,26.0,25.0,36.0,7,0,47.0,54.0,1.6666666666666667,1.0,6.666666666666667,8.666666666666666,8.333333333333334,12.0,2.3333333333333335,0.0,15.666666666666666,18.0,8.333333333333334,2.3333333333333335,8.666666666666666,26.749999999999996,-1.1278034504013303,0.7503581479844491,0.2599976569563868,-0.01743525418885538,card-prone
47,3,5,1,29.0,33.0,43.0,27.0,6,0,52.0,64.0,1.6666666666666667,0.3333333333333333,9.666666666666666,11.0,14.333333333333334,9.0,2.0,0.0,17.333333333333332,21.333333333333332,14.333333333333334,2.0,11.0,31.583333333333332,1.2327153992758737,0.23286977006413898,1.5151587595044589,1.427200092887728,"foul-heavy,high-press,shot-allowing"
48,3,4,8,27.0,26.0,23.0,30.0,1,0,39.0,49.0,1.3333333333333333,2.6666666666666665,9.0,8.666666666666666,7.666666666666667,10.0,0.3333333333333333,0.0,13.0,16.333333333333332,7.666666666666667,0.3333333333333333,8.666666666666666,23.083333333333332,-1.3900833225876863,-2.3545721195374107,0.2599976569563868,-1.1133655174883312,balanced
49,3,7,1,28.0,25.0,31.0,33.0,5,0,51.0,51.0,2.3333333333333335,0.3333333333333333,9.333333333333334,8.333333333333334,10.333333333333334,11.0,1.6666666666666667,0.0,17.0,17.0,10.333333333333334,1.6666666666666667,8.333333333333334,28.083333333333332,-0.34096383384226225,-0.2846186078561708,0.08068892802094862,0.38108484155640954,balanced
50,3,5,4,29.0,25.0,28.0,40.0,5,0,53.0,63.0,1.6666666666666667,1.3333333333333333,9.666666666666666,8.333333333333334,9.333333333333334,13.333333333333334,1.6666666666666667,0.0,17.666666666666668,21.0,9.333333333333334,1.6666666666666667,8.333333333333334,30.5,-0.7343836421217963,-0.2846186078561708,0.08068892802094862,1.103402515094701,high-press
51,3,3,4,27.0,27.0,47.0,34.0,8,0,53.0,38.0,1.0,1.3333333333333333,9.0,9.0,15.666666666666666,11.333333333333334,2.6666666666666665,0.0,17.666666666666668,12.666666666666666,15.666666666666666,2.6666666666666665,9.0,27.916666666666668,1.7572751436485852,1.2678465259047584,0.43930638589182597,0.3312698295882522,"foul-heavy,card-prone"
