fixture_id,team_id,opponent_team_id,player_out_id,player_in_id,minute,role_out,role_in
1378969,40,35,152654.0,8500,60,,
1378969,40,35,206254.0,289,60,,
1378969,40,35,174565.0,284,72,,
1378969,40,35,6716.0,293,72,,
1378969,35,40,304853.0,31057,74,,
1378969,40,35,203224.0,30410,82,,
1378969,35,40,18870.0,402432,84,,
1378969,35,40,1150.0,368030,90,,
1378969,35,40,18869.0,20093,90,,
1378970,34,66,153430.0,19163,78,,
1378970,34,66,723.0,328105,83,,
1378970,66,34,19191.0,249,84,,
1378970,34,66,18778.0,315237,90,,
1378974,44,47,180560.0,22,63,,
1378974,44,47,20303.0,270508,63,,
1378974,47,44,2413.0,18883,71,,
1378974,47,44,328089.0,863,71,,
1378974,44,47,128895.0,161621,74,,
1378974,44,47,98936.0,36927,74,,
1378974,47,44,347316.0,41104,80,,
1378974,47,44,129711.0,336564,80,,
1378974,47,44,15911.0,270510,85,,
1378974,44,47,196855.0,37882,85,,
1378971,36,51,2887.0,195106,66,,
1378971,36,51,1934.0,19025,66,,
1378971,36,51,1455.0,18753,66,,
1378971,51,36,90590.0,1469,69,,
1378971,51,36,383685.0,1361,69,,
1378971,51,36,356041.0,278370,69,,
1378971,36,51,389315.0,1161,77,,
1378971,51,36,106835.0,328225,83,,
1378971,36,51,131.0,2920,84,,
1378971,51,36,19030.0,296,88,,
1378973,746,48,290545.0,6168,53,,
1378973,48,746,2476.0,2939,71,,
1378973,48,746,2938.0,1243,71,,
1378973,746,48,301771.0,20638,76,,
1378973,746,48,349799.0,84087,76,,
1378973,48,746,138.0,68466,82,,
1378973,746,48,336659.0,339201,90,,
1378975,50,39,1422.0,81573,66,,
1378975,50,39,284230.0,41621,66,,
1378975,50,39,636.0,307123,66,,
1378975,39,50,265782.0,280687,72,,
1378975,39,50,265784.0,391822,72,,
1378975,39,50,20665.0,13708,73,,
1378975,39,50,285.0,282770,73,,
1378975,50,39,1100.0,156477,73,,
1378975,39,50,2032.0,24888,82,,
1378975,50,39,626.0,360114,82,,
1378976,49,52,286894.0,425733,54,,
1378976,52,49,18806.0,2490,70,,
1378976,49,52,10329.0,161948,73,,
1378976,49,52,5996.0,305834,79,,
1378976,49,52,19545.0,161907,79,,
1378976,52,49,19586.0,286458,84,,
1378972,55,65,319517.0,178077,46,,
1378972,55,65,47438.0,292,69,,
1378972,55,65,106725.0,15799,69,,
1378972,65,55,18931.0,9366,79,,
1378972,65,55,48648.0,141901,79,,
