fixture_id,team_id,opponent_team_id,is_home,player_id,player_name,expected_minutes,proj_shots_total,proj_shots_on,proj_fouls_committed,proj_fouls_drawn,proj_yellow_cards,role,side
1378969,40,35,True,280,Alisson,90.0,0.0,0.0,0.0,0.24672785740535452,0.0,GK,L
1378969,40,35,True,152654,Jeremie Frimpong,30.0,0.20363463735972726,0.20363463735972726,0.36285919949723644,0.28932541161766234,0.0,FB,L
1378969,40,35,True,1145,Ibrahima Konaté,72.2,0.20890128520520904,0.11891399078340822,1.1087905690931854,1.1507660150079602,0.08432201122487386,FB,L
1378969,40,35,True,290,Virgil van Dijk,90.0,0.32173810616529325,0.1284077268638386,0.39419972487415766,0.6874995290246313,0.2749375427920215,FB,L
1378969,40,35,True,206254,Miloš Kerkez,68.14285714285714,0.25718012266588147,0.04804611096956192,0.7589334487050954,0.9884634882415693,0.18536672937027032,FB,L
1378969,40,35,True,1096,Dominik Szoboszlai,90.0,1.0581619911472409,0.6339170242833715,1.9005743542624545,1.235694177953605,0.0,DM,C
1378969,40,35,True,1096,Dominik Szoboszlai,90.0,0.7518978184133359,0.4391538801833532,1.2128126076405703,0.9978668161781946,0.6376708236569628,DM,C
1378969,40,35,True,1096,Dominik Szoboszlai,90.0,0.7793310532589308,0.5225416139370239,0.5094179392272087,0.0,0.0,DM,C
1378969,40,35,True,6716,Alexis Mac Allister,72.5,0.5805370099751396,0.2945188640921501,0.7312200218265434,1.3249746892347936,0.115867287817037,DM,C
1378969,40,35,True,306,Mohamed Salah,89.45454545454545,1.1813984892531626,0.5099781265681727,0.5447190093912929,1.365760971296157,0.13798393068041143,CM,R
1378969,40,35,True,306,Mohamed Salah,67.5,0.594958773495556,0.297479386747778,0.0,0.0,0.0,CM,R
1378969,40,35,True,203224,Florian Wirtz,30.0,0.0,0.0,0.812817333151356,0.0,0.24643277859425047,DM,R
1378969,40,35,True,203224,Florian Wirtz,81.1,0.552495952024534,0.3152513505324058,0.3837421363274983,1.3369497880957477,0.0,DM,R
1378969,40,35,True,247,Cody Gakpo,80.75,1.0463292807669604,0.35758677064550176,1.178352003604274,1.9803966333759704,0.0,DM,R
1378969,40,35,True,247,Cody Gakpo,56.333333333333336,0.7162023088880975,0.0,0.3776832293550561,0.4948964128390387,0.0,DM,R
1378969,40,35,True,174565,Hugo Ekitiké,56.714285714285715,0.7517270131446907,0.33784058345097934,1.5320501729357323,0.5020306271093404,0.0,W,R
1378969,40,35,True,289,Andrew Robertson,45.666666666666664,0.03947787685786616,0.03947787685786616,0.0,0.0,0.0,FB,UNK
1378969,40,35,True,8500,Wataru Endo,15.0,0.0,0.0,0.0,0.0,0.0,CM,UNK
1378969,40,35,True,284,Joe Gomez,33.714285714285715,0.16960583628622042,0.0,0.7543042123677702,0.0,0.3937331764217286,FB,UNK
1378969,40,35,True,293,Curtis Jones,30.0,0.3347683727723333,0.057729627010772125,0.4383788673925984,0.697266254802638,0.1376009437607713,CM,UNK
1378969,40,35,True,293,Curtis Jones,83.0,0.5227864843025483,0.19919433401462355,0.0,1.8984730734683473,0.0,CM,UNK
1378969,40,35,True,30410,Federico Chiesa,15.0,0.3955342546839394,0.07417033403915127,0.21671701120682346,0.36716504757700485,0.250909188375023,W,UNK
1378969,40,35,True,24760,Giorgi Mamardashvili,90.0,0.0,0.0,0.22815263103248223,0.19723958907345784,0.0,GK,UNK
1378969,40,35,True,19035,Harvey Elliott,15.0,0.0,0.0,0.0,0.0,0.0,CM,UNK
1378969,40,35,True,397997,Trey Nyoni,20.0,0.0,0.0,0.0,0.0,0.0,CM,UNK
1378969,40,35,True,452685,Rio Ngumoha,15.0,0.0,0.0,0.0,0.0,0.0,W,UNK
1378969,35,40,False,118307,Đorđe Petrović,90.0,0.0,0.0,0.0,0.09885791011094339,0.0421354956206605,GK,L
1378969,35,40,False,18869,Adam Smith,56.57142857142857,0.0,0.0,0.8559202120352075,0.1956099678094583,0.0,FB,L
1378969,35,40,False,22136,Bafodé Diakité,86.25,0.08210676409640423,0.0,0.741948225957739,0.4805848191459992,0.06865727349791205,FB,L
1378969,35,40,False,6610,Marcos Senesi,72.0,0.05893172242144151,0.037589946851967516,0.9128788521800637,0.7542738377681792,0.41064075266929506,FB,L
1378969,35,40,False,162267,Adrien Truffert,65.0,0.15751527777656665,0.04810592201495817,0.9181074336805154,0.5347921499725506,0.21853078978699786,FB,L
1378969,35,40,False,1150,Tyler Adams,83.14285714285714,0.28694886695836863,0.24265330777570746,1.9685988500408467,0.5770797917664263,0.36500190520025033,DM,C
1378969,35,40,False,19281,Antoine Semenyo,90.0,0.7855205959592361,0.45798067878969445,0.9644919100954068,1.179035634201138,0.0,W,R
1378969,35,40,False,19281,Antoine Semenyo,90.0,1.5313027745502537,0.9971197746614265,2.8664469918516695,0.808271971729869,0.33710577039922995,W,R
1378969,35,40,False,19281,Antoine Semenyo,90.0,1.887939103092767,1.2586260687285113,2.5094387349039855,0.9575467720913344,0.0,W,R
1378969,35,40,False,304853,Alex Scott,56.666666666666664,0.19987521713185302,0.0,1.5588590910903426,1.922603269445796,0.3708950693302302,CM,R
1378969,35,40,False,304853,Alex Scott,68.83333333333333,0.5103393488090656,0.28526779958276866,1.2642499679398391,1.2303981102276205,0.13621112980517247,CM,R
1378969,35,40,False,19245,Marcus Tavernier,59.5,0.4727737103305562,0.31518247355370416,1.1118956292303463,0.8472456171408387,0.0,DM,R
