fixture_id,team_id,player_id,position_string,grid_x,grid_y,role,role_profile,side,band
1378970,34,158694,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378970,34,10135,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378970,34,31146,M,3.0,2.0,DM,defensive midfielder,C,deep
1378970,34,723,M,3.0,1.0,DM,defensive midfielder,C,deep
1378970,34,153430,F,4.0,3.0,W,wide forward / winger,R,mid
1378970,34,138787,F,4.0,2.0,W,wide forward / winger,R,deep
1378970,34,18778,F,4.0,1.0,W,wide forward / winger,R,deep
1378970,34,20355,G,,,GK,goalkeeper,UNK,UNK
1378970,34,284492,D,,,FB,full-back / wing-back,UNK,UNK
1378970,34,38734,D,,,FB,full-back / wing-back,UNK,UNK
1378970,34,163189,D,,,FB,full-back / wing-back,UNK,UNK
1378970,34,2855,D,,,FB,full-back / wing-back,UNK,UNK
1378970,34,315237,F,,,W,wide forward / winger,UNK,UNK
1378970,34,19163,M,,,CM,central / attacking midfielder,UNK,UNK
1378970,34,328105,M,,,CM,central / attacking midfielder,UNK,UNK
1378970,34,526535,F,,,W,wide forward / winger,UNK,UNK
1378974,47,31354,G,1.0,1.0,GK,goalkeeper,L,deep
1378974,47,47519,D,2.0,4.0,FB,full-back / wing-back,L,high
1378974,47,30776,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378974,47,152849,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378974,47,19235,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378974,47,237129,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378974,47,328089,M,3.0,2.0,DM,defensive midfielder,C,deep
1378974,47,347316,M,3.0,1.0,DM,defensive midfielder,C,deep
1378974,47,15911,F,4.0,3.0,W,wide forward / winger,R,mid
1378974,47,2413,F,4.0,2.0,W,wide forward / winger,R,deep
1378974,47,129711,F,4.0,1.0,W,wide forward / winger,R,deep
1378974,47,265826,G,,,GK,goalkeeper,UNK,UNK
1378974,47,25287,D,,,FB,full-back / wing-back,UNK,UNK
1378974,47,41104,M,,,CM,central / attacking midfielder,UNK,UNK
1378974,47,270510,F,,,W,wide forward / winger,UNK,UNK
1378974,47,387521,D,,,FB,full-back / wing-back,UNK,UNK
1378974,47,18883,F,,,W,wide forward / winger,UNK,UNK
1378974,47,336564,F,,,W,wide forward / winger,UNK,UNK
1378974,47,863,M,,,CM,central / attacking midfielder,UNK,UNK
1378974,47,164,D,,,FB,full-back / wing-back,UNK,UNK
1378974,44,18886,G,1.0,1.0,GK,goalkeeper,L,deep
1378974,44,128895,D,2.0,5.0,FB,full-back / wing-back,L,high
1378974,44,627,D,2.0,4.0,FB,full-back / wing-back,L,high
1378974,44,47903,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378974,44,179400,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378974,44,375915,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378974,44,180560,M,3.0,4.0,CM,central / attacking midfielder,C,high
1378974,44,20303,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378974,44,19827,M,3.0,2.0,DM,defensive midfielder,C,deep
1378974,44,196855,M,3.0,1.0,DM,defensive midfielder,C,deep
1378974,44,98936,F,4.0,1.0,W,wide forward / winger,R,deep
1378974,44,328273,G,,,GK,goalkeeper,UNK,UNK
1378974,44,1746,D,,,FB,full-back / wing-back,UNK,UNK
