fixture_id,team_id,opponent_team_id,player_id,player_name,minutes,position,role,side,band,shots_total,shots_on,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_total,duels_won,tackles,dribbles,subbed_on,subbed_off,sub_on_min,sub_off_min
1378970,66,34,138816,Ian Maatsen,,D,,,,,,,,0,0,,,,,True,False,,
1378970,66,34,284457,Lamare Bogarde,,D,,,,,,,,0,0,,,,,True,False,,
1378970,66,34,19071,Emiliano Buendía,,M,,,,,,,,0,0,,,,,True,False,,
1378970,66,34,360268,Jamaldeen Jimoh,,M,,,,,,,,0,0,,,,,True,False,,
1378970,66,34,137303,Evann Guessand,,F,,,,,,,,0,0,,,,,True,False,,
1378970,66,34,162173,Samuel Iling Junior,,F,,,,,,,,0,0,,,,,True,False,,
1378970,34,66,18911,Nick Pope,90.0,G,,,,,,,,0,0,1.0,1.0,,,False,False,,
1378970,34,66,169,Kieran Trippier,90.0,D,,,,,,1.0,,0,0,3.0,1.0,,,False,False,,
1378970,34,66,2806,Fabian Schär,90.0,D,,,,3.0,,2.0,1.0,0,0,13.0,8.0,1.0,,False,False,,
1378970,34,66,18961,Dan Burn,90.0,D,,,,,,1.0,1.0,0,0,11.0,7.0,1.0,,False,False,,
1378970,34,66,158694,Valentino Livramento,90.0,D,,,,,,,1.0,0,0,4.0,4.0,2.0,,False,False,,
1378970,34,66,10135,Bruno Guimarães,90.0,M,,,,,,2.0,,0,0,9.0,3.0,2.0,,False,False,,
1378970,34,66,31146,Sandro Tonali,90.0,M,,,,,,1.0,1.0,0,0,7.0,3.0,2.0,1.0,False,False,,
1378970,34,66,723,Joelinton,83.0,M,,,,,,1.0,2.0,1,0,11.0,5.0,2.0,1.0,False,False,,
1378970,34,66,153430,Anthony Elanga,78.0,F,,,,2.0,1.0,,3.0,0,0,7.0,5.0,,3.0,False,False,,
1378970,34,66,138787,Anthony Gordon,90.0,F,,,,3.0,2.0,2.0,1.0,0,0,10.0,3.0,,2.0,False,False,,
1378970,34,66,18778,Harvey Barnes,89.0,F,,,,1.0,,1.0,2.0,0,0,5.0,2.0,,2.0,False,False,,
1378970,34,66,19163,Jacob Murphy,12.0,M,,,,,,,1.0,0,0,2.0,1.0,,1.0,True,False,,
1378970,34,66,328105,Lewis Miley,8.0,M,,,,,,,,0,0,,,,,True,False,,
1378970,34,66,315237,William Osula,1.0,F,,,,,,,,0,0,,,,,True,False,,
