fixture_id,team_id,opponent_team_id,is_home,player_id,player_name,expected_minutes,proj_shots_total,proj_shots_on,proj_fouls_committed,proj_fouls_drawn,proj_yellow_cards,role,side,minutes_total,games,avg_minutes,shots_total_per90,shots_on_per90,fouls_committed_per90,fouls_drawn_per90,yellow_cards_per90,team_matches,team_goals_for_per_match,team_goals_against_per_match,team_shots_total_per_match,team_shots_on_per_match,team_fouls_committed_per_match,team_fouls_drawn_per_match,team_yellow_cards_per_match,team_red_cards_per_match,opp_matches,opp_goals_for_per_match,opp_goals_against_per_match,opp_shots_total_per_match,opp_shots_on_per_match,opp_fouls_committed_per_match,opp_fouls_drawn_per_match,opp_yellow_cards_per_match,opp_red_cards_per_match,team_foul_rate,team_card_rate,team_shots_allowed_rate,team_press_intensity,team_foul_z,team_card_z,team_shots_allowed_z,team_press_z,team_style_tag,opp_foul_rate,opp_card_rate,opp_shots_allowed_rate,opp_press_intensity,opp_foul_z,opp_card_z,opp_shots_allowed_z,opp_press_z,opp_style_tag,explanation_1,explanation_2,explanation_3,explanation_4
1378971,51,36,True,90590,Georginio Rutter,71.0,0.9294958234727938,0.9294958234727938,2.527582813424512,2.429747021980396,0.0,W,L,69.0,1,69.0,1.3043478260869563,1.3043478260869563,2.608695652173913,2.608695652173913,0.0,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","Georginio Rutter has played 1 match (69 total minutes), averaging about 69 minutes per appearance. For this match we expect around 71 minutes.",Per 90 minutes he averages 1.3 shots and 1.3 shots on target.,"His team takes around 9.0 shots per match, and this projection of 0.9 shots (0.9 on target) is about 10% of the team total.","He draws 2.6 fouls and commits 2.6 per 90, translating to about 2.4 drawn and 2.5 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a W, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 1.25 fouls drawn per direct matchup, which is higher than the typical 1.03 for this role."
1378971,51,36,True,1361,Ferdi Kadıoğlu,21.0,0.0,0.0,2.344729511300972,1.1269857345869376,1.1960284758674036,UNK,C,22.0,1,22.0,0.0,0.0,8.181818181818182,4.090909090909091,4.090909090909091,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","Ferdi Kadıoğlu has played 1 match (22 total minutes), averaging about 22 minutes per appearance. For this match we expect around 21 minutes.",Per 90 minutes he averages 0.0 shots and 0.0 shots on target.,"His team takes around 9.0 shots per match, and this projection of 0.0 shots (0.0 on target) is about 0% of the team total.","He draws 4.1 fouls and commits 8.2 per 90, translating to about 1.1 drawn and 2.3 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a UNK, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 0.11 fouls drawn per direct matchup, which is higher than the typical 0.09 for this role."
1378971,51,36,True,278370,Diego Gómez,21.0,0.8622531678694484,0.8622531678694484,2.344729511300972,1.1269857345869376,1.1960284758674036,UNK,C,22.0,1,22.0,4.090909090909091,4.090909090909091,8.181818181818182,4.090909090909091,4.090909090909091,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","Diego Gómez has played 1 match (22 total minutes), averaging about 22 minutes per appearance. For this match we expect around 21 minutes.",Per 90 minutes he averages 4.1 shots and 4.1 shots on target.,"His team takes around 9.0 shots per match, and this projection of 0.9 shots (0.9 on target) is about 10% of the team total.","He draws 4.1 fouls and commits 8.2 per 90, translating to about 1.1 drawn and 2.3 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a UNK, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 0.11 fouls drawn per direct matchup, which is higher than the typical 0.09 for this role."
1378971,51,36,True,1469,Danny Welbeck,21.0,0.0,0.0,0.0,0.0,0.0,UNK,C,22.0,1,22.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","Danny Welbeck has played 1 match (22 total minutes), averaging about 22 minutes per appearance. For this match we expect around 21 minutes.",Per 90 minutes he averages 0.0 shots and 0.0 shots on target.,"His team takes around 9.0 shots per match, and this projection of 0.0 shots (0.0 on target) is about 0% of the team total.","He draws 0.0 fouls and commits 0.0 per 90, translating to about 0.0 drawn and 0.0 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a UNK, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 0.11 fouls drawn per direct matchup, which is higher than the typical 0.09 for this role."
1378971,51,36,True,328225,Brajan Gruda,15.0,1.6937115797435591,0.0,0.0,0.0,0.0,UNK,C,8.0,1,8.0,11.25,0.0,0.0,0.0,0.0,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","Brajan Gruda has played 1 match (8 total minutes), averaging about 8 minutes per appearance. For this match we expect around 15 minutes.",Per 90 minutes he averages 11.2 shots and 0.0 shots on target.,"His team takes around 9.0 shots per match, and this projection of 1.7 shots (0.0 on target) is about 19% of the team total.","He draws 0.0 fouls and commits 0.0 per 90, translating to about 0.0 drawn and 0.0 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a UNK, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 0.11 fouls drawn per direct matchup, which is higher than the typical 0.09 for this role."
1378971,51,36,True,296,James Milner,15.0,0.0,0.0,0.0,0.0,0.0,UNK,C,10.0,1,10.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","James Milner has played 1 match (10 total minutes), averaging about 10 minutes per appearance. For this match we expect around 15 minutes.",Per 90 minutes he averages 0.0 shots and 0.0 shots on target.,"His team takes around 9.0 shots per match, and this projection of 0.0 shots (0.0 on target) is about 0% of the team total.","He draws 0.0 fouls and commits 0.0 per 90, translating to about 0.0 drawn and 0.0 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a UNK, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 0.11 fouls drawn per direct matchup, which is higher than the typical 0.09 for this role."
1378971,51,36,True,18960,Jason Steele,20.0,0.0,0.0,0.0,0.0,0.0,UNK,C,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","Jason Steele has limited data so far, so we approximate his minutes from this season's appearances and role, giving about 20 minutes here.",Per 90 minutes he averages 0.0 shots and 0.0 shots on target.,"His team takes around 9.0 shots per match, and this projection of 0.0 shots (0.0 on target) is about 0% of the team total.","He draws 0.0 fouls and commits 0.0 per 90, translating to about 0.0 drawn and 0.0 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a UNK, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 0.11 fouls drawn per direct matchup, which is higher than the typical 0.09 for this role."
1378971,51,36,True,22160,Olivier Boscagli,20.0,0.0,0.0,0.0,0.0,0.0,UNK,C,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","Olivier Boscagli has limited data so far, so we approximate his minutes from this season's appearances and role, giving about 20 minutes here.",Per 90 minutes he averages 0.0 shots and 0.0 shots on target.,"His team takes around 9.0 shots per match, and this projection of 0.0 shots (0.0 on target) is about 0% of the team total.","He draws 0.0 fouls and commits 0.0 per 90, translating to about 0.0 drawn and 0.0 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a UNK, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 0.11 fouls drawn per direct matchup, which is higher than the typical 0.09 for this role."
1378971,51,36,True,537,Joël Veltman,20.0,0.0,0.0,0.0,0.0,0.0,UNK,C,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","Joël Veltman has limited data so far, so we approximate his minutes from this season's appearances and role, giving about 20 minutes here.",Per 90 minutes he averages 0.0 shots and 0.0 shots on target.,"His team takes around 9.0 shots per match, and this projection of 0.0 shots (0.0 on target) is about 0% of the team total.","He draws 0.0 fouls and commits 0.0 per 90, translating to about 0.0 drawn and 0.0 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a UNK, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 0.11 fouls drawn per direct matchup, which is higher than the typical 0.09 for this role."
1378971,51,36,True,342063,Diego Coppola,20.0,0.0,0.0,0.0,0.0,0.0,UNK,C,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,9.0,4.0,16.0,15.0,3.0,0.0,1,1.0,1.0,6.0,2.0,15.0,16.0,3.0,0.0,16.0,3.0,6.0,28.5,1.52127765851133,1.2649110640673518,-0.755180130633063,1.0329318888809291,"foul-heavy,card-prone,high-press,defensively-solid",15.0,3.0,9.0,25.25,1.2043448129881362,1.2649110640673518,-0.0471987581645662,0.4387675280202175,"foul-heavy,card-prone","Diego Coppola has limited data so far, so we approximate his minutes from this season's appearances and role, giving about 20 minutes here.",Per 90 minutes he averages 0.0 shots and 0.0 shots on target.,"His team takes around 9.0 shots per match, and this projection of 0.0 shots (0.0 on target) is about 0% of the team total.","He draws 0.0 fouls and commits 0.0 per 90, translating to about 0.0 drawn and 0.0 committed here. The opposition concedes roughly 1.0 goals per match and is involved in about 31.0 fouls per game. Stylistically, his team is classified as foul-heavy,card-prone,high-press,defensively-solid, while the opposition are foul-heavy,card-prone. As a UNK, he tends to draw the most fouls when facing CMs in more central or mixed areas, averaging around 0.11 fouls drawn per direct matchup, which is higher than the typical 0.09 for this role."
