player_id,team_id,player_name,minutes_total,games,starts,sub_apps,shots_total,shots_on,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_total,duels_won,tackles,dribbles,avg_minutes,shots_total_per90,shots_on_per90,fouls_committed_per90,fouls_drawn_per90,yellow_cards_per90,red_cards_per90,duels_total_per90,duels_won_per90,tackles_per90,dribbles_per90,typical_role,typical_side,typical_band
382452,33,Patrick Dorgu,180.0,2,2,0,2.0,0.0,3.0,6.0,1,0,32.0,17.0,4.0,3.0,90.0,1.0,0.0,1.5,3.0,0.5,0.0,16.0,8.5,2.0,1.5,UNK,C,deep
2931,33,Tom Heaton,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNK,UNK,UNK
328101,33,Tyler Fredricson,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNK,UNK,UNK
20355,34,Aaron Ramsdale,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNK,UNK,UNK
153430,34,Anthony Elanga,196.0,3,2,1,2.0,1.0,0.0,3.0,0,0,17.0,7.0,1.0,4.0,65.33333333333333,0.9183673469387755,0.45918367346938777,0.0,1.3775510204081634,0.0,0.0,7.8061224489795915,3.2142857142857144,0.45918367346938777,1.836734693877551,UNK,R,mid
138787,34,Anthony Gordon,138.0,2,2,0,6.0,3.0,4.0,4.0,0,1,21.0,12.0,0.0,5.0,69.0,3.9130434782608696,1.9565217391304348,2.608695652173913,2.608695652173913,0.0,0.6521739130434783,13.695652173913043,7.826086956521739,0.0,3.260869565217391,UNK,R,deep
10135,34,Bruno Guimarães,270.0,3,3,0,1.0,1.0,9.0,6.0,1,0,44.0,16.0,8.0,6.0,90.0,0.3333333333333333,0.3333333333333333,3.0,2.0,0.3333333333333333,0.0,14.666666666666666,5.333333333333333,2.6666666666666665,2.0,UNK,C,mid
18961,34,Dan Burn,270.0,3,3,0,1.0,0.0,4.0,4.0,1,0,31.0,18.0,2.0,0.0,90.0,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,10.333333333333334,6.0,0.6666666666666666,0.0,UNK,L,deep
2855,34,Emil Krafth,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNK,UNK,UNK
2806,34,Fabian Schär,261.0,3,3,0,4.0,0.0,4.0,2.0,0,0,26.0,16.0,4.0,0.0,87.0,1.3793103448275863,0.0,1.3793103448275863,0.6896551724137931,0.0,0.0,8.96551724137931,5.517241379310345,1.3793103448275863,0.0,UNK,L,mid
